MCC,MERCHANT_ID,ZIPCODE,BILLING_STATE,CITY,POPULATION,MERCHANT_NAME,MCC_CATEGORY,MCC_DESC,TOT_SALES2021,TOT_SALES2020,TOT_SALES2019,TOT_SALE_CNT2021,TOT_SALE_CNT2020,TOT_SALES_CNT2019,DIFF_AMT,DIFF_CNT
5812,4445026450163,44060,OH,MENTOR,60211,PIONEER PIZZA GUYS,Misc. Stores,Eating Places and Restaurants,799965,753105,543165,26590,26127,21034,46860,463
5812,4445025648972,44134,OH,CLEVELAND,38800,PIEKINGZ4 INC,Misc. Stores,Eating Places and Restaurants,212117,267201,113385,6833,10157,3436,-55084,-3324
5812,4445027541268,43054,OH,NEW ALBANY,20566,"BOB EVANS RESTAURANTS, LLC",Misc. Stores,Eating Places and Restaurants,293123,286860,47422,7652,8705,1565,6263,-1053
5812,542930510019128,34201,FL,BRADENTON,3682,FIRST WATCH RESTAURANTS INC,Misc. Stores,Eating Places and Restaurants,1145258,636821,0,31456,19180,0,508438,12276
5814,4445026644393,33055,FL,OPA LOCKA,43194,PIZZERIAS LLC,Misc. Stores,Fast Food Restaurants,1951748,1911318,1489299,64644,64464,53078,40430,180
5814,4445011856203,34222,FL,ELLENTON,11952,SFDP OPERATIONS LLC,Misc. Stores,Fast Food Restaurants,1062901,913451,890307,36768,35546,34927,149450,1222
5812,4445023940411,44212,OH,BRUNSWICK,43548,LOSCHIAVO RESTAURANT GROUP SOLON LLC,Misc. Stores,Eating Places and Restaurants,727730,782394,735877,24997,28327,26341,-54664,-3330
5814,4445039685599,32605,FL,GAINESVILLE,22925,SRILPJ LLC,Misc. Stores,Fast Food Restaurants,459188,0,0,17102,0,0,,
5812,542930510016645,34201,FL,BRADENTON,3682,FIRST WATCH RESTAURANTS INC,Misc. Stores,Eating Places and Restaurants,1648874,793480,0,43600,23663,0,855394,19937
5814,8788430088468,43235,OH,COLUMBUS,38493,JJCBUS LLC,Misc. Stores,Fast Food Restaurants,214370,174829,234813,15622,14426,19972,39540,1196
5814,4445031828676,33931,FL,FORT MYERS BEACH,10005,FMBEACH THEATER LLC,Misc. Stores,Fast Food Restaurants,154012,102816,126021,3366,2880,3157,51196,486
5814,4445037954914,32459,FL,SANTA ROSA BEACH,11457,PENSACOLA CHICK LLC,Misc. Stores,Fast Food Restaurants,92396,35091,0,5191,1952,0,57305,3239
5812,4445029438272,34221,FL,PALMETTO,39457,CHLOE & ELLIE LLC,Misc. Stores,Eating Places and Restaurants,1235319,984063,1140296,48055,42346,54154,251255,5709
5812,8788430058427,32003,FL,FLEMING ISLAND,27126,CORKY BELLS SEAFOOD & STEAKS INC,Misc. Stores,Eating Places and Restaurants,1677799,1310232,1291621,43470,36711,38295,367568,6759
5812,4445039620166,33974,FL,LEHIGH ACRES,11982,REGINA'S BLAZIN KITCHEN LLC,Misc. Stores,Eating Places and Restaurants,1154,0,0,53,0,0,,
5812,520003193663,34109,FL,NAPLES,23338,PARMESAN PETE S INC,Misc. Stores,Eating Places and Restaurants,1517077,938431,290958,19661,13040,4020,578646,6621
5812,520002705782,32086,FL,SAINT AUGUSTINE,24546,SIGUENZA GROUP CORP,Misc. Stores,Eating Places and Restaurants,166474,169718,167139,6584,7080,7760,-3244,-496
5814,4445021782714,33033,FL,HOMESTEAD,49028,DC FL JJ II LLC,Misc. Stores,Fast Food Restaurants,282107,240406,151241,14464,13284,8935,41701,1180
5812,8788430159758,34787,FL,WINTER GARDEN,46083,KELTAR INC,Misc. Stores,Eating Places and Restaurants,2480149,1732277,2373926,24553,19506,28465,747872,5047
5812,4445024847038,32819,FL,ORLANDO,24976,"MILLER'S ALE HOUSE, INC.",Misc. Stores,Eating Places and Restaurants,3477028,2531040,4475507,60096,48170,94649,945988,11926
5812,4445022977041,33767,FL,CLEARWATER BEACH,8007,ISLAND TIME RESTAURANTS - MANDALAY AVE L,Misc. Stores,Eating Places and Restaurants,1300418,943779,1048674,30845,25481,33907,356639,5364
5812,4445155203182,43054,OH,NEW ALBANY,20566,"BOB EVANS RESTAURANTS, LLC",Misc. Stores,Eating Places and Restaurants,26871,16900,17541,1018,672,760,9971,346
5812,4445024849380,44483,OH,WARREN,26006,AVI FOODSYSTEMS,Misc. Stores,Eating Places and Restaurants,106121,105245,136178,27111,28020,36178,876,-909
5812,4445039706429,44862,OH,ONTARIO,0,REM INNOVATIONS LLC,Misc. Stores,Eating Places and Restaurants,364202,0,0,25061,0,0,,
5812,4445035419613,44122,OH,BEACHWOOD,34057,"SAIRAM FOOD, INC.",Misc. Stores,Eating Places and Restaurants,10102,6063,0,1214,729,0,4038,485
5814,7337689,32404,FL,PANAMA CITY,38425,LITTLE CAESARS ENTERPRISE INC,Misc. Stores,Fast Food Restaurants,44274,0,0,3382,0,0,,
5812,4445028783084,32822,FL,ORLANDO,53029,ANOTHER BROKEN EGG CAFE OF TAPESTRY PARK,Misc. Stores,Eating Places and Restaurants,1990836,1358622,1716783,42533,38115,51187,632214,4418
5812,529000214692,33884,FL,WINTER HAVEN,28763,J DIAL INC,Misc. Stores,Eating Places and Restaurants,911371,582532,523368,32916,22308,23019,328839,10608
5812,4445023923094,45030,OH,HARRISON,17921,BISCHEL WINNER LLC,Misc. Stores,Eating Places and Restaurants,725323,668141,569381,26217,26064,24073,57182,153
5814,4445197785371,33064,FL,POMPANO BEACH,52969,JAE FLORIDA LLC,Misc. Stores,Fast Food Restaurants,1164137,1176279,1174626,97858,104834,111755,-12142,-6976
5814,4445038997235,44087,OH,TWINSBURG,20221,VERMA FOOD INC,Misc. Stores,Fast Food Restaurants,470616,0,0,19752,0,0,,
5812,4445155054296,43054,OH,NEW ALBANY,20566,"BOB EVANS RESTAURANTS, LLC",Misc. Stores,Eating Places and Restaurants,782948,373837,977034,30172,14977,41060,409110,15195
5814,4445000997403,44107,OH,LAKEWOOD,52244,SBH ENTERPRISES INC,Misc. Stores,Fast Food Restaurants,418153,427586,429715,36442,38640,41591,-9433,-2198
5814,4445197833031,43017,OH,DUBLIN,37626,WENDY'S INTERNATIONAL INC,Misc. Stores,Fast Food Restaurants,7329,0,0,650,0,0,,
5814,542930525791950,44107,OH,LAKEWOOD,52244,SWAMISHREE INC,Misc. Stores,Fast Food Restaurants,35902,0,0,2981,0,0,,
5812,2447051763030,32159,FL,LADY LAKE,28867,THE VILLAGES REGINAL HOSPITAL,Misc. Stores,Eating Places and Restaurants,7146,2614,0,1794,695,0,4532,1099
5814,4445197833262,43017,OH,DUBLIN,37626,WENDY'S INTERNATIONAL INC,Misc. Stores,Fast Food Restaurants,78930,0,0,6696,0,0,,
5812,4445044145811,32805,FL,ORLANDO,21810,BODACIOUS CRAVINGZ LLC,Misc. Stores,Eating Places and Restaurants,0,0,0,3,0,0,,
5814,4445197758284,43701,OH,ZANESVILLE,55643,PRIMARY AIM LLC,Misc. Stores,Fast Food Restaurants,758826,663032,501597,54258,48713,41407,95793,5545
5814,4445197762450,43701,OH,ZANESVILLE,55643,PRIMARY AIM LLC,Misc. Stores,Fast Food Restaurants,528766,534499,490015,39126,41805,42604,-5733,-2679
5812,542929806355376,34109,FL,NAPLES,23338,NITRO SCOOPS INC,Misc. Stores,Eating Places and Restaurants,245295,183422,104305,11948,9546,5884,61873,2402
5812,4445033959701,34201,FL,BRADENTON,3682,FIRST WATCH RESTAURANTS INC,Misc. Stores,Eating Places and Restaurants,166787,91283,0,6757,3515,2,75504,3242
5812,542929807199963,32960,FL,VERO BEACH,20037,WATKINS II LLC,Misc. Stores,Eating Places and Restaurants,87423,144839,107691,4806,4747,6701,-57416,59
5812,4445023953455,43213,OH,COLUMBUS,30444,OHIO PIZZA 10 INC,Misc. Stores,Eating Places and Restaurants,245746,276519,323691,14214,16245,18971,-30773,-2031
5812,4445029760915,33914,FL,CAPE CORAL,35848,KASSEK ENTERPRISE INC,Misc. Stores,Eating Places and Restaurants,122957,90298,112597,2128,1721,2114,32659,407
5812,4445039785522,33914,FL,CAPE CORAL,35848,JA1 PIZZA LLC,Misc. Stores,Eating Places and Restaurants,304397,0,0,10719,0,0,,
5812,16187713,33884,FL,WINTER HAVEN,28763,SALGIOBRIA ENTERPRISES LLC,Misc. Stores,Eating Places and Restaurants,395,120,217,16,7,11,274,9
5814,4445197794115,43082,OH,WESTERVILLE,29946,JBS FOODS INC,Misc. Stores,Fast Food Restaurants,998411,1047151,908917,86961,95237,89077,-48740,-8276
5812,4445033960899,34201,FL,BRADENTON,3682,FIRST WATCH RESTAURANTS INC,Misc. Stores,Eating Places and Restaurants,397126,231134,0,17085,9808,2,165992,7277
5814,4445024563692,44221,OH,CUYAHOGA FALLS,29587,WHOLESOME BURGER 1X LLC,Misc. Stores,Fast Food Restaurants,559575,529489,623786,25875,27453,33952,30086,-1578
5812,4445031804214,32824,FL,ORLANDO,37401,SOBHENTERPRISES LLC,Misc. Stores,Eating Places and Restaurants,887411,843254,489452,46030,45312,28101,44158,718
5812,520004440500,33604,FL,TAMPA,35485,WINGS AND BURGERS INC,Misc. Stores,Eating Places and Restaurants,23580,0,0,729,0,0,,
5814,4445000777649,32569,FL,MARY ESTHER,11235,"LC MARY ESTHER, LLC",Misc. Stores,Fast Food Restaurants,21883,0,0,1698,0,0,,
5814,542930525272886,33327,FL,FORT LAUDERDALE,22658,3RD FIRE LLC,Misc. Stores,Fast Food Restaurants,0,0,0,3,0,0,,
5814,4445197777292,43017,OH,DUBLIN,37626,WENDY'S INTERNATIONAL INC,Misc. Stores,Fast Food Restaurants,1060207,1045244,1051229,89639,92608,102865,14963,-2969
