MCC,BILLING_STATE,CITY,Total2021,Total2020,Total2019,Total2018,CNT2021,CNT2020,CNT2019,CNT2018
5812,FL,OCOEE,6613361.95,5558585.74,3118958.80,3118958.80,339139,285342,138907,60697.0
5812,OH,PAYNE,276555.42,222302.54,239440.82,239440.82,11837,10812,12561,10633.0
5812,FL,DUNEDIN,19674392.44,17821307.91,15895458.19,15895458.19,522157,547679,456881,130401.0
5812,FL,EASTPOINT,1615523.19,2661534.86,3146298.70,3146298.70,47766,76112,90597,70710.0
5812,FL,HAWTHORNE,451064.62,1051207.85,920830.24,920830.24,17845,48895,44950,37757.0
5812,FL,WHITE SPRINGS,121187.81,174444.37,,,6478,5556,,
5812,OH,BURTON,65912.11,266477.10,363767.40,363767.40,1276,5115,7608,7481.0
5812,OH,MASSILLON,5226791.87,4568308.80,4299480.24,4299480.24,194831,175265,177704,144251.0
5812,OH,MAYNARD,80817.00,,,,3107,,,
5812,FL,SAFETY HARBOR,5651532.64,4718960.86,6648906.61,6648906.61,122143,122648,178619,131704.0
5812,OH,WEST UNITY,59288.42,51706.21,48873.62,48873.62,3058,2950,2648,2282.0
5812,OH,HAMILTON,17946691.83,16596784.94,14123954.46,14123954.46,764577,737812,616423,574261.0
5812,OH,WAYNESVILLE,399250.63,432233.96,168473.41,168473.41,15197,18364,7203,
5812,FL,CORAL SPRINGS,16073793.97,13505880.66,17565643.17,17565643.17,431203,393120,521655,463418.0
5812,OH,OTTOVILLE,665709.34,569125.75,523508.06,523508.06,21455,19857,19620,17045.0
5812,OH,DELAWARE,4635520.01,4838980.95,4277263.93,4277263.93,167130,177009,165242,157425.0
5812,FL,LEESBURG,6877242.55,5859257.57,4897783.67,4897783.67,232266,219066,182114,120117.0
5812,OH,HOLLAND,1376390.57,1088579.60,1203573.23,1203573.23,50769,44470,51855,51054.0
5812,FL,UMATILLA,1052878.74,921560.83,895568.42,895568.42,45774,42541,43149,38760.0
5812,OH,AVON,6810106.22,6160549.90,6429115.13,6429115.13,173397,174195,167346,175108.0
5812,OH,MORROW,329858.74,235606.15,137623.43,137623.43,9162,7040,4498,3318.0
5812,OH,SAINT PARIS,280301.40,,,,18224,,,
5812,OH,SYLVANIA,3673851.08,2303685.04,1400757.19,1400757.19,157668,355845,57647,52324.0
5812,OH,BLOOMINGDALE,284084.74,390918.28,384786.65,384786.65,6019,8504,9046,
5812,FL,WEBSTER,44251.93,52998.43,,,2191,2416,,
5812,OH,CHILLICOTHE,6790288.32,4629042.39,5315079.61,5315079.61,229626,169270,201881,160353.0
5812,OH,LEWIS CENTER,5414819.85,5017030.54,4608354.21,4608354.21,164335,158219,158439,97986.0
5812,OH,MASON,14091175.47,9447447.07,9226659.81,9226659.81,495423,368407,357170,244537.0
5812,FL,PUNTA GORDA,30850128.99,24786862.37,24322897.84,24322897.84,557153,478219,493267,215574.0
5812,OH,SPRINGBORO,2884939.78,2296770.30,1192051.36,1192051.36,120368,98240,59658,20389.0
5812,FL,WINTER GARDEN,19801589.95,16180688.46,17994598.28,17994598.28,437348,393154,469854,115968.0
5812,FL,HOLIDAY,1230798.77,1004020.37,1261946.08,1261946.08,37436,31672,44431,25489.0
5812,OH,KILLBUCK,777984.08,706306.98,,,30565,26848,,
5812,OH,FREMONT,3619497.33,1786815.30,1132915.95,1132915.95,104771,59806,39507,47080.0
5812,OH,MAUMEE,5815415.42,3249824.69,3352313.12,3352313.12,251970,139449,148084,109661.0
5812,OH,REPUBLIC,380048.10,268100.26,293993.76,293993.76,10974,8193,9770,8042.0
5812,OH,NEW BREMEN,1003320.10,790187.11,1112283.43,1112283.43,17377,14629,21135,18364.0
5812,FL,ESTERO,4343285.43,3228077.59,3574556.77,3574556.77,144915,123031,138880,132978.0
5812,OH,POWELL,18924325.75,17976975.94,24003639.75,24003639.75,531696,522927,724740,596023.0
