MERCHANT_CITY_NAME,MERCHANT_STATE_XCD,YEAR_RUN,TOT_CNT,MERCHANT_CATEGORY_XCD,TOT_SUM
SATELLITE BEA,FL,2019,19431,5812,550917.49
LAKE CITY,FL,2019,604914,5814,6975414.62
LANTANA,FL,2019,67011,5814,681425.45
SOUTH MIAMI,FL,2019,16612,5814,165680.66
SUNRISE,FL,2019,146202,5812,4448405.37
DELAND,FL,2019,175957,5814,1944231.4
OCOEE,FL,2019,35614,5812,837399.8
MOUNT DORA,FL,2019,56013,5812,1678051.31
PALM BAY,FL,2019,109787,5812,3026889.85
POMPANO BEACH,FL,2019,598260,5814,3170060.46
Wilton Manors,FL,2019,1541,5814,15783.08
PAYNE,OH,2019,2271,5812,41005.82
SARASOTA,FL,2019,380738,5812,14541849.43
SIDNEY,OH,2019,77128,5814,864504.64
Deltona,FL,2019,7389,5814,86895.02
DUNEDIN,FL,2019,65804,5812,2084062.19
PIQUA,OH,2019,39738,5814,433622.07
DADE CITY,FL,2019,41128,5814,435877.32
Miami Beach,FL,2019,34220,5814,458520.47
NOKOMIS,FL,2019,15463,5812,622574.79
Tavernier,FL,2019,978,5812,8160.75
EASTPOINT,FL,2019,38383,5812,1148096.7
Greensboro,FL,2019,923,5814,9599.93
MANGONIA PARK,FL,2019,9710,5814,78239.61
ORMOND BEACH,FL,2019,120143,5812,3845464.17
Waynesburg,OH,2019,955,5814,13288.23
Saint Leo,FL,2019,1264,5812,30165.26
LAKEWOOD,OH,2019,23273,5814,228035.81
Brookfield,OH,2019,548,5814,6240.65
1,FL,2019,3029,5812,87293.21
Albany,OH,2019,2221,5814,26911.06
VERA BEACH,FL,2019,14551,5814,95275.36
DELPHOS,OH,2019,37297,5814,367841.12
BLUFFTON,OH,2019,16533,5814,150028.77
FERN PARK,FL,2019,27170,5814,275844.07
JACKSN BELDEN,OH,2019,3719,5814,57562.28
1,OH,2019,427,5812,11643.37
CHIEFLAND,FL,2019,88698,5812,1800929.7
SPRINGDALE,OH,2019,7511,5812,337805.95
STEUBENVILLE,OH,2019,18475,5812,483903.61
NORTH BAY VIL,FL,2019,5865,5812,285734.35
HAWTHORNE,FL,2019,8177,5812,172923.24
OCEAN BRZ PK,FL,2019,1316,5812,23277.65
FT Lauderdale,FL,2019,1237,5812,40292.46
Zanesville,OH,2019,7338,5814,94704.39
Wesley Chapel,FL,2019,4747,5812,136320.64
NEW PHALDLPHA,OH,2019,2760,5814,28834.11
MAYFIELD HTS,OH,2019,8458,5814,74462.69
NEW PHILA,OH,2019,6826,5814,93492.9
Santa Rsa Bch,FL,2019,1461,5812,57200.87
904-4060161,FL,2019,31,5812,1023.84
New Albany,OH,2019,1149,5814,11832.91
Altamonte Spr,FL,2019,5290,5814,52751.34
BLUE ROCK,OH,2019,771,5812,18380.16
516-5284895,FL,2019,47,5812,2293.22
Bradenton Bea,FL,2019,389,5812,10853.01
BELLEAIR BLUF,FL,2019,4477,5812,208392.89
MONROEVILLE,OH,2019,133,5814,636.5
PALM  SPRINGS,FL,2019,1991,5814,33488.94
KISSIMEE,FL,2019,601,5812,15438.22
