MCC,MERCHANT_ID,ZIPCODE,BILLING_STATE,CITY,POPULATION,MERCHANT_NAME,MCC_CATEGORY,MCC_DESC,TOT_SALES2021,TOT_SALES2020,TOT_SALES2019,TOT_SALE_CNT2021,TOT_SALE_CNT2020,TOT_SALES_CNT2019,TOT_SALES2018,TOT_SALE_CNT2018
5812,4445035432962,44130,OH,CLEVELAND,50639,SHIV SHANKAR CORP,Misc. Stores,Eating Places and Restaurants,26868,18956.0,,2154,1563.0,,,
5812,520004134949,32064,FL,LIVE OAK,6860,WILLIAM MCCULLERS,Misc. Stores,Eating Places and Restaurants,273989,104614.0,,1841,795.0,,,
5812,520004139221,33403,FL,WEST PALM BEACH,12042,BIG APPLE PIZZA,Misc. Stores,Eating Places and Restaurants,4478,11011.0,,116,551.0,,,
5812,4445028700872,33609,FL,TAMPA,15999,BAGEL 18 LLC,Misc. Stores,Eating Places and Restaurants,524631,754900.0,798025.0,34597,50420.0,54049.0,390175.0,27419.0
5812,4445011771451,32751,FL,MAITLAND,19928,TIJUANA FLATS # 162 LLC,Misc. Stores,Eating Places and Restaurants,794041,816687.0,1238236.0,36796,42062.0,66705.0,1206832.0,69139.0
5812,4445042873471,43215,OH,COLUMBUS,12790,"BUCKEYE RISE & DINE-NATIONWIDE, LLC",Misc. Stores,Eating Places and Restaurants,7148,,,300,,,,
5812,4445033959958,34201,FL,BRADENTON,3682,FIRST WATCH RESTAURANTS INC,Misc. Stores,Eating Places and Restaurants,115954,64465.0,0.0,4210,2564.0,2.0,,
5812,542930510017254,34201,FL,BRADENTON,3682,FIRST WATCH RESTAURANTS INC,Misc. Stores,Eating Places and Restaurants,1468841,790623.0,,42199,25456.0,,,
5812,4445039704648,32256,FL,JACKSONVILLE,38483,FIRST WATCH RESTAURANTS INC,Misc. Stores,Eating Places and Restaurants,72584,,,3576,,,,
5812,4445024698795,43571,OH,WHITEHOUSE,6783,WHITEHOUSE AMERICAN LEGION,Misc. Stores,Eating Places and Restaurants,50653,28012.0,38043.0,2691,1541.0,2204.0,33405.0,1989.0
5812,4445033986332,34480,FL,OCALA,19068,LDB OF OCALA LLC,Misc. Stores,Eating Places and Restaurants,321775,178558.0,,14626,8851.0,,,
5812,542930510018880,34201,FL,BRADENTON,3682,FIRST WATCH RESTAURANTS INC,Misc. Stores,Eating Places and Restaurants,1432394,897602.0,52405.0,37304,26409.0,1529.0,,
5812,4445027543348,43054,OH,NEW ALBANY,20566,"BOB EVANS RESTAURANTS, LLC",Misc. Stores,Eating Places and Restaurants,175473,170701.0,44736.0,5173,5358.0,1363.0,20191.0,653.0
5812,542929806857421,33133,FL,MIAMI,31926,ALIGNED BAYSHORE RAW BAR LLC,Misc. Stores,Eating Places and Restaurants,1015146,7069334.0,10066915.0,11770,90090.0,137132.0,2109540.0,26732.0
5812,4445027542761,43054,OH,NEW ALBANY,20566,"BOB EVANS RESTAURANTS, LLC",Misc. Stores,Eating Places and Restaurants,116974,167195.0,61980.0,4342,5922.0,2335.0,26753.0,1113.0
5812,4445027544445,43054,OH,NEW ALBANY,20566,"BOB EVANS RESTAURANTS, LLC",Misc. Stores,Eating Places and Restaurants,182418,189518.0,57477.0,5840,6597.0,2226.0,29237.0,1387.0
5812,4445024840504,32819,FL,ORLANDO,24976,"MILLER'S ALE HOUSE, INC.",Misc. Stores,Eating Places and Restaurants,593732,465821.0,253742.0,16587,14082.0,10244.0,45242.0,2130.0
5812,4445024850537,32819,FL,ORLANDO,24976,"MILLER'S ALE HOUSE, INC.",Misc. Stores,Eating Places and Restaurants,1366491,959609.0,232908.0,32659,24053.0,6570.0,,
5812,8788430046128,44057,OH,MADISON,19961,MAVEC INC,Misc. Stores,Eating Places and Restaurants,192613,170711.0,186802.0,4894,4708.0,5570.0,179857.0,5483.0
5812,4445025635649,45775,OH,RUTLAND,1259,MACMERE LLC,Misc. Stores,Eating Places and Restaurants,422337,364523.0,446085.0,13533,12294.0,15589.0,425335.0,15298.0
5812,542930510022916,44669,OH,PARIS,1382,LOUISVILLE RESTAURANT LLC,Misc. Stores,Eating Places and Restaurants,197032,106613.0,,10550,8136.0,,,
5812,542930510038623,33852,FL,LAKE PLACID,21790,KKC RESTAURANTS INC,Misc. Stores,Eating Places and Restaurants,1170603,632556.0,,28678,16392.0,,,
5812,542930510038896,32812,FL,ORLANDO,32844,WAWA WINGS INC,Misc. Stores,Eating Places and Restaurants,1081796,220504.0,,23017,5062.0,,,
5812,4445036677151,33767,FL,CLEARWATER BEACH,8007,CMLCLEARWATERBEACH LLC,Misc. Stores,Eating Places and Restaurants,141749,150974.0,,3647,3688.0,,,
5812,4445155121574,43054,OH,NEW ALBANY,20566,"BOB EVANS RESTAURANTS, LLC",Misc. Stores,Eating Places and Restaurants,826952,699738.0,1133144.0,29272,26200.0,43532.0,1132386.0,44936.0
5812,8788430211157,33618,FL,TAMPA,25570,BURGER 21 I LLC,Misc. Stores,Eating Places and Restaurants,659301,647027.0,903869.0,30409,31139.0,43936.0,1013203.0,50614.0
5812,4445024889089,44483,OH,WARREN,26006,AVI FOODSYSTEMS,Misc. Stores,Eating Places and Restaurants,3042,2384.0,0.0,329,234.0,2.0,,
5812,4445035436609,45420,OH,DAYTON,25438,FULL CIRCLE PRODUCTIONS 12 LLC,Misc. Stores,Eating Places and Restaurants,402126,839185.0,,16139,238395.0,,,
5812,520003911502,33027,FL,HOLLYWOOD,57663,PUPY LLC,Misc. Stores,Eating Places and Restaurants,430,1051.0,,32,87.0,,,
5812,4445027541565,43054,OH,NEW ALBANY,20566,"BOB EVANS RESTAURANTS, LLC",Misc. Stores,Eating Places and Restaurants,287863,292826.0,88363.0,9261,9778.0,3070.0,43304.0,1772.0
5812,4445033907494,33463,FL,LAKE WORTH,53766,BOSTON FLAVOR COMPANY LLC,Misc. Stores,Eating Places and Restaurants,439546,389430.0,94671.0,13457,13235.0,3711.0,,
5812,4445024841635,32819,FL,ORLANDO,24976,"MILLER'S ALE HOUSE, INC.",Misc. Stores,Eating Places and Restaurants,783130,746688.0,203983.0,19773,20122.0,6534.0,3752.0,125.0
5812,4445028731448,44632,OH,HARTVILLE,9765,HARTVILLE KITCHEN RESTAURANT INC,Misc. Stores,Eating Places and Restaurants,5872,198523.0,20443.0,468,12919.0,1346.0,0.0,2.0
5812,4445027941468,43065,OH,POWELL,38821,PIES & PINTS LEXINGTON LLC,Misc. Stores,Eating Places and Restaurants,1383071,1034531.0,1762172.0,35397,28327.0,50016.0,1476657.0,41861.0
5812,4445155055921,43054,OH,NEW ALBANY,20566,"BOB EVANS RESTAURANTS, LLC",Misc. Stores,Eating Places and Restaurants,1114838,917385.0,1343286.0,37547,34273.0,50425.0,1322509.0,50468.0
5812,4445042843243,33143,FL,MIAMI,31407,CHILL-N SOUTH MIAMI LLC,Misc. Stores,Eating Places and Restaurants,150447,,,11835,,,,
5812,4445037940723,43537,OH,MAUMEE,27276,DON JUAN MAUMEE LLC,Misc. Stores,Eating Places and Restaurants,1833,728.0,,45,17.0,,,
